Id;Wave;years;Age;Male;Gender;Edu;Partner;BornNZ;Employed;BigDoms;TSCORE;GenCohort;Religion.Church;Religion.Believe.Cats;Relid;HLTH.Fatigue;HLTH.SleepHours;HomeOwner;Pol.Orient;PATRIOT;Env.SatNZEnvironment;Env.MotorwaySpend;Env.PubTransSubs;Env.ClimateChgConcern;LIFEMEANING;Hours.Internet;Issue.GovtSurveillance;Issue.RegulateAI;Issue.IncomeRedistribution;Hours.Exercise;Hours.Work;Hours.News;CONSCIENTIOUSNESS;EXTRAVERSION;AGREEABLENESS;OPENNESS;Religious;Spiritual.Identification;Believe.God;Believe.Spirit;HoursCharity;CharityDonate;Your.Personal.Relationships;Your.Future.Security;Standard.Living;NZ.Economic.Situation;NZ.Social.Conditions;NZ.Business.Conditions;Emp.JobSecure;Issue.Food.GMO;Env.SacMade;KESSLER6sum;SWB.Kessler01;SWB.Kessler02;SWB.Kessler03;SWB.Kessler04;SWB.Kessler05;SWB.Kessler06;FeelHopeless;FeelDepressed;FeelRestless;EverythingIsEffort;FeelWorthless;FeelNervous
1;2019;10,27241615331964;59,9616700889801;Male;1;3;0;1;1;Not_Rel;3813;Gen Boombers: born >= 1946 & b.< 1961;0,0;4;0;3;7,00;NA;6;5,5;8;5;3;2;3,5;10,00;2;NA;2;1,00;55,00;5,00;6,25000000000000;2,00000000000000;5,00000000000000;5,00000000000000;Not_Religious;NA;Not Believe God;Not Believe Spirit;0,00;1,000000e+03;0;6;8;6;4;8;6;2;NA;7,0;1;2;1;1;2;0;A Little Of The Time;Some Of The Time;A Little Of The Time;A Little Of The Time;Some Of The Time;None Of The Time
1;2018;9,29500342231348;58,0000000000000;Male;1;3;0;1;1;Not_Rel;3456;Gen Boombers: born >= 1946 & b.< 1961;0,0;4;0;1;8,00;1;5;6,5;7;5;6;5;4,5;14,00;5;5;2;0,00;55,00;7,00;5,50000000000000;2,00000000000000;4,50000000000000;4,50000000000000;Not_Religious;2;Not Believe God;Not Believe Spirit;0,00;0,000000e+00;2;7;8;6;6;6;5;5;NA;1,0;0;0;0;0;0;1;None Of The Time;None Of The Time;None Of The Time;None Of The Time;None Of The Time;A Little Of The Time
2;2019;10,26146475017112;63,5263518138261;Not_Male;0;3;1;1;0;Christian;3809;Gen Boombers: born >= 1946 & b.< 1961;0,0;1;6;0;6,00;NA;5;7,0;8;4;1;2;6,0;5,00;7;NA;5;7,00;0,00;20,00;6,75000000000000;1,75000000000000;4,25000000000000;4,50000000000000;Religious;NA;Believe God;Believe Spirit;0,00;5,000000e+02;10;9;10;4;3;4;NA;7;NA;0,0;0;0;0;0;0;0;None Of The Time;None Of The Time;None Of The Time;None Of The Time;None Of The Time;None Of The Time
2;2018;9,21560574948665;62,0000000000000;Not_Male;0;3;1;1;0;Christian;3427;Gen Boombers: born >= 1946 & b.< 1961;0,0;1;6;0;6,00;1;6;7,0;6;7;6;4;7,0;10,00;7;7;5;25,00;0,00;2,00;6,75000000000000;2,50000000000000;4,25000000000000;4,75000000000000;Religious;1;Believe God;Believe Spirit;0,00;5,000000e+02;10;8;10;8;0;7;NA;7;NA;0,0;0;0;0;0;0;0;None Of The Time;None Of The Time;None Of The Time;None Of The Time;None Of The Time;None Of The Time
3;2019;10,26420260095825;66,5845311430527;Male;1;7;1;1;1;Christian;3810;Gen Boombers: born >= 1946 & b.< 1961;0,0;1;3;2;7,00;NA;5;6,0;7;7;1;NA;5,0;5,00;6;NA;6;1,00;50,00;2,00;5,00000000000000;5,75000000000000;6,25000000000000;5,50000000000000;Religious;NA;Believe God;Believe Spirit;0,00;5,000000e+01;7;6;8;4;4;5;6;6;NA;10,0;1;1;2;2;2;2;A Little Of The Time;A Little Of The Time;Some Of The Time;Some Of The Time;Some Of The Time;Some Of The Time
3;2018;9,18275154004107;65,0000000000000;Male;1;7;1;1;1;Christian;3415;Gen Boombers: born >= 1946 & b.< 1961;0,0;1;3;2;8,00;1;2;7,0;3;7;1;2;5,5;5,00;6;6;6;1,00;50,00;8,00;5,50000000000000;6,00000000000000;6,00000000000000;6,00000000000000;Religious;5;Believe God;Believe Spirit;0,00;2,000000e+01;9;3;9;3;3;3;7;6;NA;6,0;0;0;1;1;2;2;None Of The Time;None Of The Time;A Little Of The Time;A Little Of The Time;Some Of The Time;Some Of The Time
4;2019;10,86926762491444;72,9691991786448;Male;1;0;1;1;0;Christian;4031;Gen Boombers: born >= 1946 & b.< 1961;0,0;4;NA;1;8,00;NA;6;5,5;5;4;3;4;5,0;0,00;5;NA;1;15,00;0,00;4,00;3,00000000000000;5,00000000000000;4,50000000000000;3,50000000000000;Religious;NA;Not Believe God;Not Believe Spirit;0,00;2,000000e+01;8;5;8;3;4;4;NA;2;NA;8,0;2;2;1;1;1;1;Some Of The Time;Some Of The Time;A Little Of The Time;A Little Of The Time;A Little Of The Time;A Little Of The Time
4;2018;9,82888432580424;71,0000000000000;Male;1;0;NA;1;NA;Christian;3651;Gen Boombers: born >= 1946 & b.< 1961;0,0;NA;NA;1;8,00;1;6;5,5;5;3;6;3;6,0;0,00;6;2;1;4,00;0,00;4,00;5,25000000000000;4,50000000000000;4,75000000000000;4,50000000000000;Religious;2;NA;NA;2,00;1,000000e+02;8;6;6;4;5;6;NA;2;NA;6,0;1;0;2;1;0;2;A Little Of The Time;None Of The Time;Some Of The Time;A Little Of The Time;None Of The Time;Some Of The Time
5;2019;10,10266940451745;59,3894592744695;Not_Male;0;4;1;1;0;Not_Rel;3751;Gen Boombers: born >= 1946 & b.< 1961;0,0;3;0;2;7,00;NA;4;6,0;5;5;5;6;4,5;4,00;6;NA;5;0,00;0,00;3,00;5,00000000000000;3,00000000000000;5,75000000000000;3,75000000000000;Not_Religious;NA;Not Believe God;Believe Spirit;0,00;4,000000e+02;8;6;8;4;4;6;NA;6;NA;4,0;1;0;0;2;0;1;A Little Of The Time;None Of The Time;None Of The Time;Some Of The Time;None Of The Time;A Little Of The Time
5;2018;9,21560574948665;58,0000000000000;Not_Male;0;4;1;1;1;Not_Rel;3427;Gen Boombers: born >= 1946 & b.< 1961;0,0;3;0;2;7,00;1;4;6,5;6;5;4;7;5,0;8,00;5;4;5;0,00;30,00;2,00;4,75000000000000;2,75000000000000;6,00000000000000;4,50000000000000;Not_Religious;2;Not Believe God;Believe Spirit;0,00;3,000000e+02;8;6;8;5;6;6;4;6;NA;8,0;2;1;1;2;1;1;Some Of The Time;A Little Of The Time;A Little Of The Time;Some Of The Time;A Little Of The Time;A Little Of The Time
